Component,Is_Breaker
Line.line_ban_2179_2180,0
Line.line_ban_2180_2181,0
Line.line_ban_2181_2182,0
Line.line_ban_2182_2183,0
Line.line_ban_2183_2184,0
Line.line_ban_2185_2186,0
Line.line_ban_2186_2187,0
Line.line_ban_2187_2188,0
Line.line_ban_2188_2189,0
Line.line_ban_2189_2190,0
Line.line_ban_2190_2191,0
Line.line_ban_2191_2192,0
Line.line_ban_2192_2193,0
Line.line_ban_2193_2194,0
Line.line_ban_2194_2195,0
Line.line_ban_2195_2055,0
Line.line_ban_2196_2001,0
Line.line_ban_2197_2002,0
Line.line_ban_2198_2199,0
Line.line_ban_2199_2200,0
Line.line_ban_2200_2201,0
Line.line_ban_2201_2003,0
Line.line_ban_2202_2203,0
Line.line_ban_2203_2204,0
Line.line_ban_2204_2205,0
Line.line_ban_2205_2004,0
Line.line_ban_2206_2207,0
Line.line_ban_2207_2208,0
Line.line_ban_2208_2209,0
Line.line_ban_2209_2210,0
Line.line_ban_2210_2211,0
Line.line_ban_2211_2005,0
Line.line_ban_2212_2213,0
Line.line_ban_2213_2214,0
Line.line_ban_2214_2215,0
Line.line_ban_2215_2006,0
Line.line_ban_2216_2217,0
Line.line_ban_2217_2007,0
Line.line_ban_2218_2219,0
Line.line_ban_2219_2008,0
Line.line_ban_2220_2221,0
Line.line_ban_2221_2222,0
Line.line_ban_2222_2223,0
Line.line_ban_2223_2009,0
Line.line_ban_2224_2225,0
Line.line_ban_2225_2010,0
Line.line_ban_2226_2012,0
Line.line_ban_2227_2013,0
Line.line_ban_2228_2014,0
Line.line_ban_2229_2230,0
Line.line_ban_2230_2015,0
Line.line_ban_2231_2016,0
Line.line_ban_2232_2017,0
Line.line_ban_2233_2234,0
Line.line_ban_2234_2235,0
Line.line_ban_2235_2018,0
Line.line_ban_2236_2237,0
Line.line_ban_2237_2019,0
Line.line_ban_2238_2239,0
Line.line_ban_2239_2240,0
Line.line_ban_2240_2241,0
Line.line_ban_2241_2020,0
Line.line_ban_2242_2099,0
Line.line_ban_2243_2122,0
Line.line_dho_103_3200,0
Line.line_dho_3002_3003,0
Line.line_dho_3003_3004,0
Line.line_dho_3004_3005,0
Line.line_dho_3005_3006,0
Line.line_dho_3006_3007,0
Line.line_dho_3007_3008,0
Line.line_dho_3008_3009,0
Line.line_dho_3009_3203,0
Line.line_dho_3010_3208,0
Line.line_dho_3011_3213,0
Line.line_dho_3012_3216,0
Line.line_dho_3013_3220,0
Line.line_dho_3014_3015,0
Line.line_dho_3015_3228,0
Line.line_dho_3016_3231,0
Line.line_dho_3017_3235,0
Line.line_dho_3018_3236,0
Line.line_dho_3019_3020,0
Line.line_dho_3020_3021,0
Line.line_dho_3021_3022,0
Line.line_dho_3022_3023,0
Line.line_dho_3023_3024,0
Line.line_dho_3024_3025,0
Line.line_dho_3025_3026,0
Line.line_dho_3026_3027,0
Line.line_dho_3027_3028,0
Line.line_dho_3028_3029,0
Line.line_dho_3029_3030,0
Line.line_dho_3030_3031,0
Line.line_dho_3031_3032,0
Line.line_dho_3033_3034,0
Line.line_dho_3034_3035,0
Line.line_dho_3035_3036,0
Line.line_dho_3036_3037,0
Line.line_dho_3037_3038,0
Line.line_dho_3038_3039,0
Line.line_dho_3039_3040,0
Line.line_dho_3040_3088,0
Line.line_dho_3041_3042,0
Line.line_dho_3042_3043,0
Line.line_dho_3043_3044,0
Line.line_dho_3044_3045,0
Line.line_dho_3045_3238,0
Line.line_dho_3046_3047,0
Line.line_dho_3047_3048,0
Line.line_dho_3048_3049,0
Line.line_dho_3049_3050,0
Line.line_dho_3050_3051,0
Line.line_dho_3051_3001,0
Line.line_dho_3051_3237,0
Line.line_dho_3052_3053,0
Line.line_dho_3053_3054,0
Line.line_dho_3054_3055,0
Line.line_dho_3055_3056,0
Line.line_dho_3056_3057,0
Line.line_dho_3057_3058,0
Line.line_dho_3058_3059,0
Line.line_dho_3059_3060,0
Line.line_dho_3060_3061,0
Line.line_dho_3061_3062,0
Line.line_dho_3062_3063,0
Line.line_dho_3063_3064,0
Line.line_dho_3064_3065,0
Line.line_dho_3065_3066,0
Line.line_dho_3066_3067,0
Line.line_dho_3067_3068,0
Line.line_dho_3068_3069,0
Line.line_dho_3069_3070,0
Line.line_dho_3070_3071,0
Line.line_dho_3071_3239,0
Line.line_dho_3072_3073,0
Line.line_dho_3073_3074,0
