Component,Distance
Line.line_ban_2112_2113,2.053678388
Line.line_ban_2113_2114,2.073581388
Line.line_ban_2114_2115,2.096887088
Line.line_ban_2115_2116,2.119713288
Line.line_ban_2116_2117,2.139316688
Line.line_ban_2117_2118,2.164044388
Line.line_ban_2118_2119,2.187278488
Line.line_ban_2119_2120,2.199038088
Line.line_ban_2120_2121,2.2158980879999994
Line.line_ban_2121_2243,2.2220424479999994
Line.line_ban_2122_2123,2.2403808079999994
Line.line_ban_2123_2124,2.2622764079999995
Line.line_ban_2124_2125,2.281825408
Line.line_ban_2125_2126,2.2994742079999995
Line.line_ban_2126_2127,2.3201626079999995
Line.line_ban_2127_2128,2.3368665079999995
Line.line_ban_2128_2129,2.355153908
Line.line_ban_2129_2130,2.3732483079999995
Line.line_ban_2130_2131,2.3915524079999995
Line.line_ban_2131_2132,2.410756708
Line.line_ban_2132_2133,2.4137535279999995
Line.line_ban_2133_2134,2.4389589279999995
Line.line_ban_2134_2135,2.4633185279999994
Line.line_ban_2135_2136,2.484142228
Line.line_ban_2136_2137,2.508505528
Line.line_ban_2137_2138,2.538239228
Line.line_ban_2138_2139,2.561958628
Line.line_ban_2139_2140,2.586300428
Line.line_ban_2140_2141,2.608903828
Line.line_ban_2141_2142,2.631263428
Line.line_ban_2142_2143,2.653047228
Line.line_ban_2143_2144,2.6783735280000003
Line.line_ban_2144_2145,2.700391128
Line.line_ban_2145_2146,2.722022528
Line.line_ban_2146_2147,2.741882228
Line.line_ban_2149_2150,1.4627134380000004
Line.line_ban_2150_2151,1.4910168380000004
Line.line_ban_2151_2152,1.5189336380000005
Line.line_ban_2152_2153,1.5402421380000004
Line.line_ban_2153_2154,1.5628206380000005
Line.line_ban_2154_2155,1.5872180380000005
Line.line_ban_2155_2156,1.6020969380000003
Line.line_ban_2156_2157,1.6109460080000004
Line.line_ban_2157_2158,1.6390302080000003
Line.line_ban_2158_2159,1.6700491080000004
Line.line_ban_2159_2166,1.6978520080000004
Line.line_ban_2160_2161,1.7396210080000003
Line.line_ban_2161_2162,1.7686778080000003
Line.line_ban_2162_2163,1.7778529080000005
Line.line_ban_2163_2164,1.7984264080000003
Line.line_ban_2164_2165,1.8213413080000005
Line.line_ban_2166_2160,1.7140852080000004
Line.line_ban_2166_2167,1.7140852080000004
Line.line_ban_2167_2168,1.7465677080000004
Line.line_ban_2168_2169,1.7754910080000004
Line.line_ban_2169_2170,1.8047230080000003
Line.line_ban_2170_2171,1.8338072080000003
Line.line_ban_2171_2172,1.8669119080000005
Line.line_ban_2172_2173,1.892116208
Line.line_ban_2173_2174,1.920159508
Line.line_ban_2174_2175,1.953359208
Line.line_ban_2175_2176,1.972461908
Line.line_ban_2176_2177,2.012765708
Line.line_ban_2177_2178,2.036274208
Line.line_ban_2178_2179,2.060237308
Line.line_ban_2179_2180,2.082547608
Line.line_ban_2180_2181,2.103678108
Line.line_ban_2181_2182,2.116449508
Line.line_ban_2182_2183,2.134270508
Line.line_ban_2183_2184,2.1555268080000003
Line.line_ban_2185_2186,0.909179968
Line.line_ban_2186_2187,0.883704968
Line.line_ban_2187_2188,0.857417768
Line.line_ban_2188_2189,0.8319428680000001
Line.line_ban_2189_2190,0.8201260680000001
Line.line_ban_2190_2191,0.8126542980000001
Line.line_ban_2191_2192,0.7907828980000001
Line.line_ban_2192_2193,0.7685490980000002
Line.line_ban_2193_2194,0.7484411980000002
Line.line_ban_2194_2195,0.7353616980000002
Line.line_ban_2195_2055,0.7353616980000002
Line.line_ban_2196_2001,0.00693802
Line.line_ban_2197_2002,0.01389876
Line.line_ban_2198_2199,0.02776618
Line.line_ban_2199_2200,0.03384589
Line.line_ban_2200_2201,0.034842949
Line.line_ban_2201_2003,0.037137829
Line.line_ban_2202_2203,0.046335149
Line.line_ban_2203_2204,0.049649569
Line.line_ban_2204_2205,0.055057409
Line.line_ban_2205_2004,0.055705801
Line.line_ban_2206_2207,0.063709611
Line.line_ban_2207_2208,0.063762035
Line.line_ban_2208_2209,0.072001175
Line.line_ban_2209_2210,0.073698485
Line.line_ban_2210_2211,0.074759885
Line.line_ban_2211_2005,0.075830775
Line.line_ban_2212_2213,0.081365902
Line.line_ban_2213_2214,0.081518225
Line.line_ban_2214_2215,0.0819027299999999
Line.line_ban_2215_2006,0.08844091
Line.line_ban_2216_2217,0.1059587
Line.line_ban_2217_2007,0.11169816
Line.line_ban_2218_2219,0.12749054
Line.line_ban_2219_2008,0.14668424
Line.line_ban_2220_2221,0.15146434
Line.line_ban_2221_2222,0.15514807
Line.line_ban_2222_2223,0.15941905
Line.line_ban_2223_2009,0.16080202
Line.line_ban_2224_2225,0.183560688
Line.line_ban_2225_2010,0.184795248
Line.line_ban_2226_2012,0.217201969
Line.line_ban_2227_2013,0.242724369
Line.line_ban_2228_2014,0.2527492770000001
Line.line_ban_2229_2230,0.2792159070000001
Line.line_ban_2230_2015,0.2917553070000001
Line.line_ban_2231_2016,0.3181067870000001
Line.line_ban_2232_2017,0.3409154070000001
Line.line_ban_2233_2234,0.3416303370000001
Line.line_ban_2234_2235,0.3416830220000001
Line.line_ban_2235_2018,0.3419400710000001
Line.line_ban_2236_2237,0.3421219080000001
Line.line_ban_2237_2019,0.3494749980000001
Line.line_ban_2238_2239,0.3574371680000001
Line.line_ban_2239_2240,0.3590745980000001
Line.line_ban_2240_2241,0.3619617180000001
Line.line_ban_2241_2020,0.3680753980000001
Line.line_ban_2242_2099,1.829307798
Line.line_ban_2243_2122,2.2232591079999997
Line.line_dho_103_3200,0.001
Line.line_dho_3002_3003,0.0354186
Line.line_dho_3003_3004,0.0548007
Line.line_dho_3004_3005,0.055422516
Line.line_dho_3005_3006,0.070222016
Line.line_dho_3006_3007,0.082111116
Line.line_dho_3007_3008,0.101074616
Line.line_dho_3008_3009,0.108564626
Line.line_dho_3009_3203,0.130889226
Line.line_dho_3010_3208,0.191902581
Line.line_dho_3011_3213,0.251117037
Line.line_dho_3012_3216,0.287905379
Line.line_dho_3013_3220,0.349476319
Line.line_dho_3014_3015,0.365970463
Line.line_dho_3015_3228,0.367778023
Line.line_dho_3016_3231,0.411764503
Line.line_dho_3017_3235,0.525978003
Line.line_dho_3018_3236,0.529527603
Line.line_dho_3019_3020,0.596486041
Line.line_dho_3020_3021,0.693051741
Line.line_dho_3021_3022,0.911868741
Line.line_dho_3022_3023,1.009905741
Line.line_dho_3023_3024,1.114463741
Line.line_dho_3024_3025,1.161398241
Line.line_dho_3025_3026,1.173971541
Line.line_dho_3026_3027,1.285646541
Line.line_dho_3027_3028,1.296537141
Line.line_dho_3028_3029,1.364722541
Line.line_dho_3029_3030,1.4303036409999998
Line.line_dho_3030_3031,1.4893379409999998
Line.line_dho_3031_3032,1.5464217409999998
Line.line_dho_3033_3034,1.6622843609999998
Line.line_dho_3034_3035,1.7115723609999998
Line.line_dho_3035_3036,1.7567364609999998
Line.line_dho_3036_3037,1.7813201609999998
Line.line_dho_3037_3038,1.810066861
Line.line_dho_3038_3039,1.883611061
Line.line_dho_3039_3040,1.929698761
Line.line_dho_3040_3088,1.9409007609999995
Line.line_dho_3041_3042,2.035826961
Line.line_dho_3042_3043,2.084223161
Line.line_dho_3043_3044,2.122569861
Line.line_dho_3044_3045,2.174619761
Line.line_dho_3045_3238,2.255830561
Line.line_dho_3046_3047,2.283454335
Line.line_dho_3047_3048,2.286457565
Line.line_dho_3048_3049,2.3146348649999995
Line.line_dho_3049_3050,2.3423773649999995
Line.line_dho_3050_3051,2.3680817649999995
Line.line_dho_3051_3001,2.3920969649999995
Line.line_dho_3051_3237,2.3920969649999995
Line.line_dho_3052_3053,2.4059916729999995
Line.line_dho_3053_3054,2.4077104929999997
Line.line_dho_3054_3055,2.421833092999999
Line.line_dho_3055_3056,2.4454395929999992
Line.line_dho_3056_3057,2.459454792999999
Line.line_dho_3057_3058,2.475789892999999
Line.line_dho_3058_3059,2.485797592999999
Line.line_dho_3059_3060,2.4965218929999997
Line.line_dho_3060_3061,2.5052495129999994
Line.line_dho_3061_3062,2.5218254129999997
Line.line_dho_3062_3063,2.538092512999999
Line.line_dho_3063_3064,2.549389012999999
Line.line_dho_3064_3065,2.5629448129999988
Line.line_dho_3065_3066,2.5692306329999988
Line.line_dho_3066_3067,2.589584632999999
Line.line_dho_3067_3068,2.6060094329999988
Line.line_dho_3068_3069,2.639107532999999
Line.line_dho_3069_3070,2.6719567329999987
Line.line_dho_3070_3071,2.7021067329999986
Line.line_dho_3071_3239,2.7181471329999987
Line.line_dho_3072_3073,2.735954512999999
Line.line_dho_3073_3074,2.739221102999999
Line.line_dho_3074_3075,2.762166902999999
Line.line_dho_3075_3076,2.832218102999999
Line.line_dho_3076_3077,2.861572602999999
Line.line_dho_3077_3078,2.8780270029999997
Line.line_dho_3078_3079,2.896354202999999
Line.line_dho_3079_3080,2.9175945029999992
Line.line_dho_3080_3081,2.928604202999999
Line.line_dho_3081_3082,2.940387402999999
Line.line_dho_3082_3083,2.955101202999999
Line.line_dho_3083_3084,2.963545722999999
Line.line_dho_3084_3085,2.985991922999999
Line.line_dho_3085_3086,3.004506522999999
Line.line_dho_3086_3087,3.030194922999999
